Sample_Code,Household,Sample_Type,Site,GenBac,HF183,Rum2Bac,Pig2Bac,DG37,GFD,Log10_GenBac,Log10_HF183,Log10_Rum2Bac,Log10_Pig2Bac,Log10_DG37,Log10_GFD
7003CNDW,7003,Domestic water (n=48),Rural,2.62E+03,BDL,BDL,BDL,BDL,BDL,3.42,BDL,BDL,BDL,BDL,BDL
7004CNDW,7004,Domestic water (n=48),Rural,3.00E+04,BDL,BDL,BDL,BDL,BDL,4.48,BDL,BDL,BDL,BDL,BDL
9001CNDW,9001,Domestic water (n=48),Rural,3.65E+04,BDL,BDL,BDL,BDL,BDL,4.56,BDL,BDL,BDL,BDL,BDL
1001CWDK,1001,Doorknob (n=59),Urban,1.68E+04,BDL,BDL,BDL,BDL,BDL,4.23,BDL,BDL,BDL,BDL,BDL
1002CWDK,1002,Doorknob (n=59),Urban,1.58E+04,BDL,BDL,BDL,BDL,BDL,4.2,BDL,BDL,BDL,BDL,BDL
1006CWDK,1006,Doorknob (n=59),Urban,2.08E+04,BDL,BDL,BDL,BDL,BDL,4.32,BDL,BDL,BDL,BDL,BDL
1007CWDK,1007,Doorknob (n=59),Urban,8.27E+03,BDL,BDL,BDL,BDL,BDL,3.92,BDL,BDL,BDL,BDL,BDL
1010CWDK,1010,Doorknob (n=59),Urban,9.06E+03,BDL,BDL,BDL,BDL,BDL,3.96,BDL,BDL,BDL,BDL,BDL
1011CWDK,1011,Doorknob (n=59),Urban,1.63E+04,BDL,BDL,BDL,BDL,BDL,4.21,BDL,BDL,BDL,BDL,BDL
1012CWDK,1012,Doorknob (n=59),Urban,2.25E+03,BDL,BDL,BDL,BDL,BDL,3.35,BDL,BDL,BDL,BDL,BDL
1013CWDK,1013,Doorknob (n=59),Urban,1.73E+04,BDL,BDL,BDL,BDL,BDL,4.24,BDL,BDL,BDL,BDL,BDL
1015CWDK,1015,Doorknob (n=59),Urban,3.43E+03,BDL,BDL,BDL,BDL,BDL,3.54,BDL,BDL,BDL,BDL,BDL
1017CWDK,1017,Doorknob (n=59),Urban,2.38E+04,1.85E+02,BDL,BDL,BDL,BDL,4.38,2.27,BDL,BDL,BDL,BDL
1019CWDK,1019,Doorknob (n=59),Urban,2.96E+03,BDL,BDL,BDL,BDL,BDL,3.47,BDL,BDL,BDL,BDL,BDL
1020CNDK,1020,Doorknob (n=59),Urban,1.87E+04,BDL,BDL,BDL,BDL,BDL,4.27,BDL,BDL,BDL,BDL,BDL
1021CNDK,1021,Doorknob (n=59),Urban,3.06E+04,BDL,BDL,BDL,BDL,2.25E+02,4.49,BDL,BDL,BDL,BDL,2.35
1022CNDK,1022,Doorknob (n=59),Urban,8.40E+03,BDL,BDL,BDL,BDL,BDL,3.92,BDL,BDL,BDL,BDL,BDL
1023CNDK,1023,Doorknob (n=59),Urban,2.61E+04,BDL,BDL,BDL,BDL,BDL,4.42,BDL,BDL,BDL,BDL,BDL
2001CWDK,2001,Doorknob (n=59),Semi-rural,1.67E+04,BDL,BDL,BDL,BDL,BDL,4.22,BDL,BDL,BDL,BDL,BDL
2004CWDK,2004,Doorknob (n=59),Semi-rural,1.01E+04,BDL,BDL,BDL,BDL,BDL,4,BDL,BDL,BDL,BDL,BDL
2007CWDK,2007,Doorknob (n=59),Semi-rural,1.07E+04,BDL,BDL,BDL,DNQ,BDL,4.03,BDL,BDL,BDL,DNQ,BDL
2008CWDK,2008,Doorknob (n=59),Semi-rural,1.26E+04,1.27E+02,BDL,BDL,BDL,BDL,4.1,2.1,BDL,BDL,BDL,BDL
2012CWDK,2012,Doorknob (n=59),Semi-rural,1.86E+05,5.60E+04,BDL,BDL,BDL,BDL,5.27,4.75,BDL,BDL,BDL,BDL
2013CWDK,2013,Doorknob (n=59),Semi-rural,3.28E+04,BDL,BDL,BDL,BDL,BDL,4.52,BDL,BDL,BDL,BDL,BDL
2015CWDK,2015,Doorknob (n=59),Semi-rural,7.44E+02,BDL,BDL,BDL,BDL,BDL,2.87,BDL,BDL,BDL,BDL,BDL
2016CWDK,2016,Doorknob (n=59),Semi-rural,8.42E+03,BDL,BDL,BDL,BDL,BDL,3.93,BDL,BDL,BDL,BDL,BDL
2018CWDK,2018,Doorknob (n=59),Semi-rural,4.71E+03,BDL,BDL,BDL,BDL,BDL,3.67,BDL,BDL,BDL,BDL,BDL
2021CNDK,2021,Doorknob (n=59),Semi-rural,3.86E+04,BDL,BDL,BDL,BDL,BDL,4.59,BDL,BDL,BDL,BDL,BDL
2022CNDK,2022,Doorknob (n=59),Semi-rural,6.65E+03,BDL,BDL,1.29E+02,BDL,BDL,3.82,BDL,BDL,2.11,BDL,BDL
2023CNDK,2023,Doorknob (n=59),Semi-rural,2.66E+03,BDL,BDL,BDL,BDL,BDL,3.43,BDL,BDL,BDL,BDL,BDL
2025CNDK,2025,Doorknob (n=59),Semi-rural,5.28E+03,1.95E+02,BDL,BDL,BDL,BDL,3.72,2.29,BDL,BDL,BDL,BDL
2026CWDK,2026,Doorknob (n=59),Semi-rural,5.37E+03,BDL,BDL,BDL,BDL,BDL,3.73,BDL,BDL,BDL,BDL,BDL
2027CNDK,2027,Doorknob (n=59),Semi-rural,1.29E+04,BDL,BDL,BDL,BDL,BDL,4.11,BDL,BDL,BDL,BDL,BDL
2028CNDK,2028,Doorknob (n=59),Semi-rural,1.85E+03,BDL,BDL,BDL,BDL,BDL,3.27,BDL,BDL,BDL,BDL,BDL
2029CNDK,2029,Doorknob (n=59),Semi-rural,6.65E+04,BDL,BDL,BDL,BDL,BDL,4.82,BDL,BDL,BDL,BDL,BDL
2030CNDK,2030,Doorknob (n=59),Semi-rural,3.12E+04,BDL,BDL,BDL,BDL,BDL,4.49,BDL,BDL,BDL,BDL,BDL
2031CNDK,2031,Doorknob (n=59),Semi-rural,4.01E+04,BDL,BDL,BDL,BDL,BDL,4.6,BDL,BDL,BDL,BDL,BDL
2032CNDK,2032,Doorknob (n=59),Semi-rural,1.04E+04,BDL,BDL,1.63E+02,BDL,BDL,4.02,BDL,BDL,2.21,BDL,BDL
2033CNDK,2033,Doorknob (n=59),Semi-rural,3.47E+04,BDL,BDL,BDL,BDL,BDL,4.54,BDL,BDL,BDL,BDL,BDL
2034CNDK,2034,Doorknob (n=59),Semi-rural,6.27E+05,BDL,BDL,BDL,BDL,BDL,5.8,BDL,BDL,BDL,BDL,BDL
2035CNDK,2035,Doorknob (n=59),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
3001CWDK,3001,Doorknob (n=59),Rural,1.29E+03,BDL,BDL,BDL,BDL,BDL,3.11,BDL,BDL,BDL,BDL,BDL
3003CWDK,3003,Doorknob (n=59),Rural,2.05E+04,2.46E+02,BDL,BDL,BDL,BDL,4.31,2.39,BDL,BDL,BDL,BDL
3005CWDK,3005,Doorknob (n=59),Rural,1.03E+04,BDL,BDL,BDL,BDL,1.27E+02,4.02,BDL,BDL,BDL,BDL,2.11
3007CWDK,3007,Doorknob (n=59),Rural,1.63E+04,BDL,BDL,BDL,BDL,BDL,4.21,BDL,BDL,BDL,BDL,BDL
3008CNDK,3008,Doorknob (n=59),Rural,3.80E+04,1.19E+02,BDL,BDL,BDL,BDL,4.58,2.08,BDL,BDL,BDL,BDL
3009CNDK,3009,Doorknob (n=59),Rural,7.31E+03,BDL,BDL,BDL,BDL,BDL,3.86,BDL,BDL,BDL,BDL,BDL
3010CNDK,3010,Doorknob (n=59),Rural,9.38E+02,BDL,BDL,BDL,BDL,BDL,2.97,BDL,BDL,BDL,BDL,BDL
4002CWDK,4002,Doorknob (n=59),Rural,4.08E+04,BDL,BDL,BDL,BDL,BDL,4.61,BDL,BDL,BDL,BDL,BDL
4004CNDK,4004,Doorknob (n=59),Rural,1.97E+04,BDL,BDL,BDL,BDL,BDL,4.29,BDL,BDL,BDL,BDL,BDL
4005CNDK,4005,Doorknob (n=59),Rural,2.43E+03,BDL,BDL,BDL,BDL,BDL,3.39,BDL,BDL,BDL,BDL,BDL
4006CNDK,4006,Doorknob (n=59),Rural,4.53E+04,BDL,BDL,BDL,BDL,BDL,4.66,BDL,BDL,BDL,BDL,BDL
5001CWDK,5001,Doorknob (n=59),Rural,1.01E+05,BDL,BDL,BDL,BDL,BDL,5,BDL,BDL,BDL,BDL,BDL
5002CWDK,5002,Doorknob (n=59),Rural,5.97E+03,BDL,BDL,BDL,BDL,BDL,3.78,BDL,BDL,BDL,BDL,BDL
7002CWDK,7002,Doorknob (n=59),Rural,4.95E+03,BDL,BDL,BDL,BDL,BDL,3.69,BDL,BDL,BDL,BDL,BDL
7003CNDK,7003,Doorknob (n=59),Rural,4.76E+04,BDL,BDL,BDL,BDL,BDL,4.68,BDL,BDL,BDL,BDL,BDL
7004CNDK,7004,Doorknob (n=59),Rural,4.75E+03,BDL,BDL,BDL,BDL,BDL,3.68,BDL,BDL,BDL,BDL,BDL
9001CNDK,9001,Doorknob (n=59),Rural,9.02E+03,BDL,BDL,BDL,BDL,BDL,3.96,BDL,BDL,BDL,BDL,BDL
9002CNDK,9002,Doorknob (n=59),Rural,5.86E+03,BDL,BDL,BDL,BDL,BDL,3.77,BDL,BDL,BDL,BDL,BDL
9003CWDK,9003,Doorknob (n=59),Rural,5.38E+03,BDL,BDL,BDL,BDL,BDL,3.73,BDL,BDL,BDL,BDL,BDL
9005CWDK,9005,Doorknob (n=59),Rural,7.33E+04,BDL,BDL,BDL,BDL,BDL,4.87,BDL,BDL,BDL,BDL,BDL
9006CWDK,9006,Doorknob (n=59),Rural,2.13E+04,BDL,BDL,BDL,BDL,BDL,4.33,BDL,BDL,BDL,BDL,BDL
1001CWKW,1001,Drinking water (n=55),Urban,6.50E+02,BDL,BDL,BDL,BDL,BDL,2.81,BDL,BDL,BDL,BDL,BDL
1002CWKW,1002,Drinking water (n=55),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1006CWKW,1006,Drinking water (n=55),Urban,4.58E+01,BDL,BDL,BDL,BDL,BDL,1.66,BDL,BDL,BDL,BDL,BDL
1007CWKW,1007,Drinking water (n=55),Urban,3.88E+02,BDL,BDL,BDL,BDL,BDL,2.59,BDL,BDL,BDL,BDL,BDL
1010CWKW,1010,Drinking water (n=55),Urban,DNQ,BDL,BDL,BDL,BDL,BDL,DNQ,BDL,BDL,BDL,BDL,BDL
1011CWKW,1011,Drinking water (n=55),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1012CWKW,1012,Drinking water (n=55),Urban,9.98E+02,BDL,BDL,BDL,BDL,BDL,3,BDL,BDL,BDL,BDL,BDL
1013CWKW,1013,Drinking water (n=55),Urban,1.89E+02,BDL,BDL,BDL,BDL,BDL,2.28,BDL,BDL,BDL,BDL,BDL
1015CWKW,1015,Drinking water (n=55),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1017CWKW,1017,Drinking water (n=55),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1019CWKW,1019,Drinking water (n=55),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1020CNKW,1020,Drinking water (n=55),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1021CNKW,1021,Drinking water (n=55),Urban,5.36E+01,BDL,BDL,BDL,BDL,BDL,1.73,BDL,BDL,BDL,BDL,BDL
1022CNKW,1022,Drinking water (n=55),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1023CNKW,1023,Drinking water (n=55),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2001CWKW,2001,Drinking water (n=55),Semi-rural,8.01E+03,BDL,BDL,BDL,BDL,BDL,3.9,BDL,BDL,BDL,BDL,BDL
2004CWKW,2004,Drinking water (n=55),Semi-rural,6.72E+02,BDL,BDL,BDL,BDL,BDL,2.83,BDL,BDL,BDL,BDL,BDL
2007CWKW,2007,Drinking water (n=55),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2008CWKW,2008,Drinking water (n=55),Semi-rural,9.74E+02,BDL,BDL,BDL,BDL,BDL,2.99,BDL,BDL,BDL,BDL,BDL
2012CWKW,2012,Drinking water (n=55),Semi-rural,6.74E+01,BDL,BDL,BDL,BDL,BDL,1.83,BDL,BDL,BDL,BDL,BDL
2013CWKW,2013,Drinking water (n=55),Semi-rural,4.51E+01,BDL,BDL,BDL,BDL,BDL,1.66,BDL,BDL,BDL,BDL,BDL
2015CWKW,2015,Drinking water (n=55),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2016CWKW,2016,Drinking water (n=55),Semi-rural,1.71E+02,BDL,BDL,BDL,BDL,BDL,2.23,BDL,BDL,BDL,BDL,BDL
2018CWKW,2018,Drinking water (n=55),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2021CNKW,2021,Drinking water (n=55),Semi-rural,2.24E+02,BDL,BDL,BDL,BDL,BDL,2.35,BDL,BDL,BDL,BDL,BDL
2022CNKW,2022,Drinking water (n=55),Semi-rural,5.28E+03,BDL,BDL,BDL,BDL,BDL,3.72,BDL,BDL,BDL,BDL,BDL
2023CNKW,2023,Drinking water (n=55),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2025CNKW,2025,Drinking water (n=55),Semi-rural,2.22E+01,BDL,BDL,BDL,BDL,BDL,1.35,BDL,BDL,BDL,BDL,BDL
2026CWKW,2026,Drinking water (n=55),Semi-rural,5.70E+02,BDL,BDL,BDL,BDL,BDL,2.76,BDL,BDL,BDL,BDL,BDL
2027CNKW,2027,Drinking water (n=55),Semi-rural,2.12E+03,BDL,BDL,BDL,BDL,BDL,3.33,BDL,BDL,BDL,BDL,BDL
2029CNKW,2029,Drinking water (n=55),Semi-rural,4.45E+02,BDL,BDL,BDL,BDL,BDL,2.65,BDL,BDL,BDL,BDL,BDL
2030CNKW,2030,Drinking water (n=55),Semi-rural,1.22E+03,BDL,BDL,BDL,BDL,BDL,3.09,BDL,BDL,BDL,BDL,BDL
2031CNKW,2031,Drinking water (n=55),Semi-rural,4.15E+02,BDL,BDL,BDL,BDL,BDL,2.62,BDL,BDL,BDL,BDL,BDL
2032CNKW,2032,Drinking water (n=55),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2033CNKW,2033,Drinking water (n=55),Semi-rural,6.04E+01,BDL,BDL,BDL,BDL,BDL,1.78,BDL,BDL,BDL,BDL,BDL
2035CNKW,2035,Drinking water (n=55),Semi-rural,3.19E+04,BDL,BDL,BDL,BDL,BDL,4.5,BDL,BDL,BDL,BDL,BDL
3001CWKW,3001,Drinking water (n=55),Rural,1.16E+02,BDL,BDL,BDL,BDL,BDL,2.07,BDL,BDL,BDL,BDL,BDL
3003CWKW,3003,Drinking water (n=55),Rural,2.30E+02,BDL,BDL,BDL,BDL,BDL,2.36,BDL,BDL,BDL,BDL,BDL
3005CWKW,3005,Drinking water (n=55),Rural,1.13E+03,BDL,BDL,BDL,BDL,BDL,3.05,BDL,BDL,BDL,BDL,BDL
3007CWKW,3007,Drinking water (n=55),Rural,9.62E+02,BDL,BDL,BDL,BDL,BDL,2.98,BDL,BDL,BDL,BDL,BDL
3008CNKW,3008,Drinking water (n=55),Rural,4.16E+02,BDL,BDL,BDL,BDL,BDL,2.62,BDL,BDL,BDL,BDL,BDL
3009CNKW,3009,Drinking water (n=55),Rural,2.98E+03,BDL,BDL,1.18E+01,BDL,BDL,3.47,BDL,BDL,1.07,BDL,BDL
3010CNKW,3010,Drinking water (n=55),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4004CNKW,4004,Drinking water (n=55),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4005CNKW,4005,Drinking water (n=55),Rural,2.36E+02,BDL,BDL,BDL,BDL,BDL,2.37,BDL,BDL,BDL,BDL,BDL
5001CWKW,5001,Drinking water (n=55),Rural,3.60E+01,BDL,BDL,BDL,BDL,BDL,1.56,BDL,BDL,BDL,BDL,BDL
5002CWKW,5002,Drinking water (n=55),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
7002CWKW,7002,Drinking water (n=55),Rural,1.69E+05,BDL,BDL,BDL,BDL,BDL,5.23,BDL,BDL,BDL,BDL,BDL
7003CNKW,7003,Drinking water (n=55),Rural,5.86E+02,BDL,BDL,BDL,BDL,BDL,2.77,BDL,BDL,BDL,BDL,BDL
7004CNKW,7004,Drinking water (n=55),Rural,2.75E+03,BDL,BDL,BDL,BDL,BDL,3.44,BDL,BDL,BDL,BDL,BDL
9001CNKW,9001,Drinking water (n=55),Rural,2.82E+03,BDL,BDL,BDL,BDL,BDL,3.45,BDL,BDL,BDL,BDL,BDL
9002CNKW,9002,Drinking water (n=55),Rural,1.61E+04,BDL,BDL,BDL,BDL,BDL,4.21,BDL,BDL,BDL,BDL,BDL
9003CWKW,9003,Drinking water (n=55),Rural,4.62E+03,BDL,BDL,BDL,BDL,DNQ,3.66,BDL,BDL,BDL,BDL,DNQ
9005CWKW,9005,Drinking water (n=55),Rural,DNQ,BDL,BDL,BDL,BDL,BDL,DNQ,BDL,BDL,BDL,BDL,BDL
9006CWKW,9006,Drinking water (n=55),Rural,1.83E+02,BDL,BDL,BDL,BDL,BDL,2.26,BDL,BDL,BDL,BDL,BDL
1001CWFL,1001,Floor (n=59),Urban,5.58E+04,BDL,BDL,BDL,2.32E+02,3.01E+02,4.75,BDL,BDL,BDL,2.37,2.48
1002CWFL,1002,Floor (n=59),Urban,1.60E+04,1.78E+02,BDL,BDL,BDL,BDL,4.2,2.25,BDL,BDL,BDL,BDL
1006CWFL,1006,Floor (n=59),Urban,6.50E+04,BDL,BDL,BDL,BDL,BDL,4.81,BDL,BDL,BDL,BDL,BDL
1007CWFL,1007,Floor (n=59),Urban,2.78E+05,4.93E+02,BDL,BDL,4.20E+02,1.77E+02,5.45,2.69,BDL,BDL,2.62,2.25
1010CWFL,1010,Floor (n=59),Urban,1.45E+05,BDL,BDL,BDL,2.37E+02,BDL,5.16,BDL,BDL,BDL,2.38,BDL
1011CWFL,1011,Floor (n=59),Urban,5.09E+06,BDL,BDL,BDL,BDL,3.74E+02,6.71,BDL,BDL,BDL,BDL,2.57
1012CWFL,1012,Floor (n=59),Urban,7.27E+04,1.64E+03,BDL,BDL,BDL,BDL,4.86,3.21,BDL,BDL,BDL,BDL
1013CWFL,1013,Floor (n=59),Urban,7.26E+04,6.63E+02,BDL,BDL,BDL,BDL,4.86,2.82,BDL,BDL,BDL,BDL
1015CWFL,1015,Floor (n=59),Urban,2.23E+04,1.30E+02,BDL,BDL,BDL,BDL,4.35,2.11,BDL,BDL,BDL,BDL
1017CWFL,1017,Floor (n=59),Urban,8.30E+04,2.13E+03,BDL,BDL,2.85E+02,BDL,4.92,3.33,BDL,BDL,2.46,BDL
1019CWFL,1019,Floor (n=59),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1020CNFL,1020,Floor (n=59),Urban,2.81E+05,2.72E+02,BDL,1.69E+03,2.05E+02,8.53E+02,5.45,2.44,BDL,3.23,2.31,2.93
1021CNFL,1021,Floor (n=59),Urban,4.04E+05,DNQ,BDL,BDL,BDL,BDL,5.61,DNQ,BDL,BDL,BDL,BDL
1022CNFL,1022,Floor (n=59),Urban,3.17E+04,BDL,BDL,BDL,BDL,BDL,4.5,BDL,BDL,BDL,BDL,BDL
1023CNFL,1023,Floor (n=59),Urban,9.00E+05,BDL,BDL,BDL,4.36E+02,1.25E+03,5.95,BDL,BDL,BDL,2.64,3.1
2001CWFL,2001,Floor (n=59),Semi-rural,4.84E+05,1.28E+02,BDL,BDL,BDL,3.48E+02,5.69,2.11,BDL,BDL,BDL,2.54
2004CWFL,2004,Floor (n=59),Semi-rural,3.61E+05,BDL,BDL,BDL,BDL,DNQ,5.56,BDL,BDL,BDL,BDL,DNQ
2007CWFL,2007,Floor (n=59),Semi-rural,3.91E+05,1.41E+02,2.78E+02,BDL,2.02E+02,5.55E+02,5.59,2.15,2.45,BDL,2.31,2.75
2008CWFL,2008,Floor (n=59),Semi-rural,2.23E+05,9.60E+02,BDL,BDL,9.31E+01,BDL,5.35,2.98,BDL,BDL,1.97,BDL
2012CWFL,2012,Floor (n=59),Semi-rural,1.40E+05,4.58E+02,BDL,BDL,BDL,2.09E+02,5.15,2.66,BDL,BDL,BDL,2.32
2013CWFL,2013,Floor (n=59),Semi-rural,1.78E+05,BDL,BDL,BDL,BDL,7.24E+02,5.25,BDL,BDL,BDL,BDL,2.86
2015CWFL,2015,Floor (n=59),Semi-rural,8.12E+03,BDL,BDL,BDL,BDL,BDL,3.91,BDL,BDL,BDL,BDL,BDL
2016CWFL,2016,Floor (n=59),Semi-rural,1.36E+05,3.81E+02,BDL,BDL,BDL,BDL,5.13,2.58,BDL,BDL,BDL,BDL
2018CWFL,2018,Floor (n=59),Semi-rural,2.86E+05,7.03E+02,BDL,BDL,1.41E+02,BDL,5.46,2.85,BDL,BDL,2.15,BDL
2021CNFL,2021,Floor (n=59),Semi-rural,1.90E+05,BDL,BDL,BDL,BDL,4.91E+02,5.28,BDL,BDL,BDL,BDL,2.69
2022CNFL,2022,Floor (n=59),Semi-rural,2.80E+03,BDL,BDL,BDL,BDL,BDL,3.45,BDL,BDL,BDL,BDL,BDL
2023CNFL,2023,Floor (n=59),Semi-rural,1.93E+04,BDL,BDL,BDL,BDL,BDL,4.29,BDL,BDL,BDL,BDL,BDL
2025CNFL,2025,Floor (n=59),Semi-rural,2.39E+04,BDL,BDL,BDL,BDL,BDL,4.38,BDL,BDL,BDL,BDL,BDL
2026CWFL,2026,Floor (n=59),Semi-rural,3.94E+05,BDL,BDL,BDL,BDL,BDL,5.6,BDL,BDL,BDL,BDL,BDL
2027CNFL,2027,Floor (n=59),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2028CNFL,2028,Floor (n=59),Semi-rural,1.34E+03,BDL,BDL,BDL,BDL,BDL,3.13,BDL,BDL,BDL,BDL,BDL
2029CNFL,2029,Floor (n=59),Semi-rural,1.74E+06,1.65E+02,BDL,7.29E+02,BDL,1.43E+02,6.24,2.22,BDL,2.86,BDL,2.15
2030CNFL,2030,Floor (n=59),Semi-rural,5.74E+04,1.33E+02,BDL,BDL,BDL,BDL,4.76,2.12,BDL,BDL,BDL,BDL
2031CNFL,2031,Floor (n=59),Semi-rural,1.59E+04,BDL,BDL,BDL,BDL,BDL,4.2,BDL,BDL,BDL,BDL,BDL
2032CNFL,2032,Floor (n=59),Semi-rural,5.20E+04,BDL,BDL,BDL,BDL,BDL,4.72,BDL,BDL,BDL,BDL,BDL
2033CNFL,2033,Floor (n=59),Semi-rural,1.46E+05,BDL,BDL,BDL,BDL,BDL,5.17,BDL,BDL,BDL,BDL,BDL
2034CNFL,2034,Floor (n=59),Semi-rural,2.76E+04,BDL,BDL,BDL,BDL,BDL,4.44,BDL,BDL,BDL,BDL,BDL
2035CNFL,2035,Floor (n=59),Semi-rural,2.88E+03,BDL,BDL,BDL,BDL,BDL,3.46,BDL,BDL,BDL,BDL,BDL
3001CWFL,3001,Floor (n=59),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
3003CWFL,3003,Floor (n=59),Rural,4.01E+04,2.55E+02,BDL,BDL,BDL,4.76E+02,4.6,2.41,BDL,BDL,BDL,2.68
3005CWFL,3005,Floor (n=59),Rural,6.02E+04,BDL,BDL,BDL,BDL,BDL,4.78,BDL,BDL,BDL,BDL,BDL
3007CWFL,3007,Floor (n=59),Rural,DNQ,BDL,BDL,BDL,BDL,BDL,DNQ,BDL,BDL,BDL,BDL,BDL
3008CNFL,3008,Floor (n=59),Rural,3.56E+06,BDL,BDL,BDL,BDL,1.77E+02,6.55,BDL,BDL,BDL,BDL,2.25
3009CNFL,3009,Floor (n=59),Rural,9.37E+04,BDL,BDL,5.08E+03,BDL,BDL,4.97,BDL,BDL,3.71,BDL,BDL
3010CNFL,3010,Floor (n=59),Rural,1.26E+04,BDL,BDL,BDL,BDL,BDL,4.1,BDL,BDL,BDL,BDL,BDL
4002CWFL,4002,Floor (n=59),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4004CNFL,4004,Floor (n=59),Rural,2.62E+02,BDL,BDL,BDL,BDL,BDL,2.42,BDL,BDL,BDL,BDL,BDL
4005CNFL,4005,Floor (n=59),Rural,3.45E+04,BDL,BDL,BDL,BDL,BDL,4.54,BDL,BDL,BDL,BDL,BDL
4006CNFL,4006,Floor (n=59),Rural,5.46E+04,BDL,BDL,BDL,BDL,DNQ,4.74,BDL,BDL,BDL,BDL,DNQ
5001CWFL,5001,Floor (n=59),Rural,DNQ,BDL,BDL,BDL,BDL,BDL,DNQ,BDL,BDL,BDL,BDL,BDL
5002CWFL,5002,Floor (n=59),Rural,2.08E+04,BDL,BDL,BDL,BDL,BDL,4.32,BDL,BDL,BDL,BDL,BDL
7002CWFL,7002,Floor (n=59),Rural,2.62E+05,BDL,BDL,BDL,BDL,BDL,5.42,BDL,BDL,BDL,BDL,BDL
7003CNFL,7003,Floor (n=59),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
7004CNFL,7004,Floor (n=59),Rural,6.14E+02,BDL,BDL,BDL,BDL,BDL,2.79,BDL,BDL,BDL,BDL,BDL
9001CNFL,9001,Floor (n=59),Rural,4.17E+02,BDL,BDL,BDL,BDL,BDL,2.62,BDL,BDL,BDL,BDL,BDL
9002CNFL,9002,Floor (n=59),Rural,DNQ,BDL,BDL,BDL,BDL,BDL,DNQ,BDL,BDL,BDL,BDL,BDL
9003CWFL,9003,Floor (n=59),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
9005CWFL,9005,Floor (n=59),Rural,1.75E+03,BDL,BDL,BDL,BDL,BDL,3.24,BDL,BDL,BDL,BDL,BDL
9006CWFL,9006,Floor (n=59),Rural,1.32E+03,BDL,BDL,BDL,BDL,BDL,3.12,BDL,BDL,BDL,BDL,BDL
1001CWFD,1001,Food-(n=57),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1002CWFD,1002,Food-(n=57),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1006CWFD,1006,Food-(n=57),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1007CWFD,1007,Food-(n=57),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1010CWFD,1010,Food-(n=57),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1011CWFD,1011,Food-(n=57),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1012CWFD,1012,Food-(n=57),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
