Sample_Code,Household,Sample_Type,Site,GenBac,HF183,Rum2Bac,Pig2Bac,DG37,GFD,Log10_GenBac,Log10_HF183,Log10_Rum2Bac,Log10_Pig2Bac,Log10_DG37,Log10_GFD
2025CNHM,2025,Adult hands (n=59),Semi-rural,2.34E+05,1.70E+03,BDL,BDL,BDL,BDL,5.37,3.23,BDL,BDL,BDL,BDL
2026CWHM,2026,Adult hands (n=59),Semi-rural,2.11E+05,BDL,BDL,BDL,BDL,BDL,5.32,BDL,BDL,BDL,BDL,BDL
2027CNHM,2027,Adult hands (n=59),Semi-rural,5.68E+06,6.32E+02,BDL,BDL,BDL,BDL,6.75,2.8,BDL,BDL,BDL,BDL
2028CNHM,2028,Adult hands (n=59),Semi-rural,8.60E+05,BDL,BDL,BDL,BDL,BDL,5.94,BDL,BDL,BDL,BDL,BDL
2029CNHM,2029,Adult hands (n=59),Semi-rural,5.81E+05,4.36E+02,BDL,BDL,BDL,BDL,5.77,2.64,BDL,BDL,BDL,BDL
2030CNHM,2030,Adult hands (n=59),Semi-rural,7.85E+05,8.19E+02,BDL,BDL,BDL,BDL,5.9,2.91,BDL,BDL,BDL,BDL
2031CNHM,2031,Adult hands (n=59),Semi-rural,7.25E+04,3.17E+02,BDL,BDL,BDL,BDL,4.86,2.5,BDL,BDL,BDL,BDL
2032CNHM,2032,Adult hands (n=59),Semi-rural,6.97E+05,3.01E+03,BDL,2.99E+04,BDL,2.81E+02,5.84,3.48,BDL,4.48,BDL,2.45
2033CNHM,2033,Adult hands (n=59),Semi-rural,1.87E+06,BDL,BDL,BDL,BDL,BDL,6.27,BDL,BDL,BDL,BDL,BDL
2034CNHM,2034,Adult hands (n=59),Semi-rural,2.73E+04,3.42E+02,BDL,BDL,BDL,BDL,4.44,2.53,BDL,BDL,BDL,BDL
2035CNHM,2035,Adult hands (n=59),Semi-rural,1.37E+05,3.38E+02,BDL,BDL,BDL,BDL,5.14,2.53,BDL,BDL,BDL,BDL
3001CWHM,3001,Adult hands (n=59),Rural,8.95E+05,BDL,BDL,BDL,BDL,BDL,5.95,BDL,BDL,BDL,BDL,BDL
3003CWHM,3003,Adult hands (n=59),Rural,3.77E+04,DNQ,BDL,BDL,BDL,BDL,4.58,DNQ,BDL,BDL,BDL,BDL
3005CWHM,3005,Adult hands (n=59),Rural,1.70E+06,BDL,BDL,BDL,BDL,BDL,6.23,BDL,BDL,BDL,BDL,BDL
3007CWHM,3007,Adult hands (n=59),Rural,4.70E+05,DNQ,BDL,BDL,BDL,BDL,5.67,DNQ,BDL,BDL,BDL,BDL
3008CNHM,3008,Adult hands (n=59),Rural,6.25E+06,4.26E+03,BDL,BDL,BDL,8.34E+02,6.8,3.63,BDL,BDL,BDL,2.92
3009CNHM,3009,Adult hands (n=59),Rural,3.30E+05,BDL,BDL,BDL,BDL,BDL,5.52,BDL,BDL,BDL,BDL,BDL
3010CNHM,3010,Adult hands (n=59),Rural,9.21E+04,3.84E+02,BDL,BDL,BDL,BDL,4.96,2.58,BDL,BDL,BDL,BDL
4002CWHM,4002,Adult hands (n=59),Rural,1.55E+07,BDL,BDL,BDL,BDL,BDL,7.19,BDL,BDL,BDL,BDL,BDL
4004CNHM,4004,Adult hands (n=59),Rural,5.36E+03,BDL,BDL,BDL,BDL,BDL,3.73,BDL,BDL,BDL,BDL,BDL
4005CNHM,4005,Adult hands (n=59),Rural,2.70E+04,7.89E+02,BDL,BDL,BDL,BDL,4.43,2.9,BDL,BDL,BDL,BDL
4006CNHM,4006,Adult hands (n=59),Rural,3.58E+04,BDL,BDL,BDL,BDL,BDL,4.55,BDL,BDL,BDL,BDL,BDL
5001CWHM,5001,Adult hands (n=59),Rural,2.31E+05,5.67E+02,BDL,BDL,BDL,BDL,5.36,2.75,BDL,BDL,BDL,BDL
5002CWHM,5002,Adult hands (n=59),Rural,5.09E+04,BDL,BDL,BDL,BDL,BDL,4.71,BDL,BDL,BDL,BDL,BDL
7002CWHM,7002,Adult hands (n=59),Rural,3.19E+05,BDL,BDL,BDL,BDL,BDL,5.5,BDL,BDL,BDL,BDL,BDL
7003CNHM,7003,Adult hands (n=59),Rural,1.16E+05,BDL,BDL,BDL,BDL,BDL,5.06,BDL,BDL,BDL,BDL,BDL
7004CNHM,7004,Adult hands (n=59),Rural,1.39E+05,BDL,BDL,3.32E+03,BDL,BDL,5.14,BDL,BDL,3.52,BDL,BDL
9001CNHM,9001,Adult hands (n=59),Rural,7.96E+05,BDL,BDL,BDL,BDL,BDL,5.9,BDL,BDL,BDL,BDL,BDL
9002CNHM,9002,Adult hands (n=59),Rural,3.60E+04,BDL,BDL,BDL,BDL,BDL,4.56,BDL,BDL,BDL,BDL,BDL
9003CWHM,9003,Adult hands (n=59),Rural,1.16E+07,BDL,BDL,BDL,BDL,BDL,7.07,BDL,BDL,BDL,BDL,BDL
9005CWHM,9005,Adult hands (n=59),Rural,3.80E+05,BDL,BDL,BDL,BDL,BDL,5.58,BDL,BDL,BDL,BDL,BDL
9006CWHM,9006,Adult hands (n=59),Rural,3.12E+05,BDL,BDL,DNQ,BDL,BDL,5.5,BDL,BDL,DNQ,BDL,BDL
1006CWCL,1006,Cellphone (n=30),Urban,1.11E+04,BDL,BDL,BDL,BDL,BDL,4.05,BDL,BDL,BDL,BDL,BDL
1010CWCL,1010,Cellphone (n=30),Urban,7.79E+04,BDL,BDL,BDL,BDL,BDL,4.89,BDL,BDL,BDL,BDL,BDL
1011CWCL,1011,Cellphone (n=30),Urban,1.75E+04,BDL,BDL,BDL,BDL,BDL,4.24,BDL,BDL,BDL,BDL,BDL
1012CWCL,1012,Cellphone (n=30),Urban,6.72E+02,BDL,BDL,BDL,BDL,BDL,2.83,BDL,BDL,BDL,BDL,BDL
1017CWCL,1017,Cellphone (n=30),Urban,2.04E+05,BDL,BDL,BDL,BDL,BDL,5.31,BDL,BDL,BDL,BDL,BDL
1019CWCL,1019,Cellphone (n=30),Urban,3.60E+03,BDL,BDL,BDL,BDL,BDL,3.56,BDL,BDL,BDL,BDL,BDL
1020CNCL,1020,Cellphone (n=30),Urban,1.74E+03,BDL,BDL,BDL,BDL,BDL,3.24,BDL,BDL,BDL,BDL,BDL
1022CNCL,1022,Cellphone (n=30),Urban,1.45E+03,BDL,BDL,BDL,BDL,BDL,3.16,BDL,BDL,BDL,BDL,BDL
1023CNCL,1023,Cellphone (n=30),Urban,5.03E+03,BDL,BDL,BDL,BDL,BDL,3.7,BDL,BDL,BDL,BDL,BDL
2007CWCL,2007,Cellphone (n=30),Semi-rural,4.26E+02,BDL,BDL,BDL,BDL,BDL,2.63,BDL,BDL,BDL,BDL,BDL
2015CWCL,2015,Cellphone (n=30),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2021CNCL,2021,Cellphone (n=30),Semi-rural,1.65E+03,BDL,BDL,BDL,BDL,BDL,3.22,BDL,BDL,BDL,BDL,BDL
2022CNCL,2022,Cellphone (n=30),Semi-rural,4.51E+03,BDL,BDL,BDL,BDL,BDL,3.66,BDL,BDL,BDL,BDL,BDL
2023CNCL,2023,Cellphone (n=30),Semi-rural,1.24E+03,BDL,BDL,BDL,BDL,BDL,3.09,BDL,BDL,BDL,BDL,BDL
